text,sentiment
kenaikan iuran bpjs kesehatan munculkan empat puluh delapan persen sentimen negatif,0
bayar bpjs aja ga sanggup siapa juga yang mau percaya uang gaib triliyunan,0
pendidikan gratis nyatanya tidak kesehatan gratis nyatanya bpjs iuran naik banyak yang nunggak bayar listrik di subsidi,0
pelayanan kesehatan kurang baik bpjs malah naik,0
bpjs kesehatan sama ketenagakerjaan kenapa tidak ada padahal manfaat bagus,1
ini kenaikan iuran masih jauh di bawah perhitungan aktuaria jadi masih untung,1
aneh banget pelayanan kesehatan kurang baik bpjs malah naik,0
harusnya tidak ada iuran bpjs harusnya kesehatan masyarakat di tanggung pemerintah,0
adanya orang yang menyulitkan ketika dirujuk ke rumah sakit sesuai arahan dokter di faskes tingkat pertama seharusnya menjadi pembelajaran untuk bpjs,0
tidak heran iuran naik bpjs aja tidak membayar tenaga kesehatan juga,0 
bersyukur ya bpjs kesehatan benar benar membantu warga meski di tengah pandemi begini,1
bukan menjamin tapi dipaksakan sudah ada asuransi kesehatan ditambah dipaksakan bpjs,0
miris sekali ketika kesehatan dijadikan bisnis rakyat terus diperas untuk kepentingan para kapitalis,0
konsul kesehatan mental bisa pake bpjs jadi sangat terbantu,1
bpjs yang iuran murah dibandingkan dengan premi asuransi kesehatan lainnya harus didukung,1
jamsostek ketenagakerjaan bpjs kesehatan adalagi baru tapera pendapatan tidak seberapa bayar iuran mulu,0
jokowi bebani rakyat miskin ditengah covid tak turunkan bbm tapi naikkan bpjs kesehatan cebong sakit ga punya biaya,0
pemprov aceh tanggung iuran bpjs kesehatan dua juta warga jadi terbantu,1
bpjs telat bayar sekarang apd gak dibayar namanya doang kementrian kesehatan tapi didalamnya sakit,0
jamsostek ketenagakerjaan bpjs kesehatan adalagi baru tapera pendapatan gak seberapa bayar iuran terus terusan,0
karena naiknya iuran bagi orang yang berpenghasilan minim tapi sekarang bpjs ada subsidi dari pemerintah untuk yang kurang mampu,1
bermanfaat sekali berkat jkn kis peserta bpjs kesehatan lancar menjalani cuci darah,1
kenaikan iuran bpjs ternyata biar bpjs tetap hidup kebayang kan bpjs menanggung biaya ke rumah sakit,1
ternyata banyak hal yang tidak ditanggung sama bpjs kesehatan,0
bpjs yang diwajibkan ada kesehatan dan ketenagakerjaan untuk yang ketenagakerjaan lumayan banget berguna,1
bersyukur terima kasih sudah melunasi tunggakan bpjs saya semoga selalu diberi kesehatan,1
pengalaman menunggu ortu hemodialisis pembersihan darah jadi ga perlu panik semua dijamin lancar berkat jkn kis,1
iuran bpjs ada kenaikan untuk keberlangsungan kesehatan rakyat,1
antrian pagi di bpjs kesehatan dan samsat bulak kapal bekasi pake masker dan jaga jarak jadi aman,1
kenaikan iuran bpjs demi keberlangsungan bpjs kesehatan ini semua dari kita untuk kita kok,1
kehadiran program jkn kis telah membuka akses pelayanan kesehatan yang terjangkau dan berkualitas sehingga banyak yang terbantu ,1
harusnya kesehatan dijamin penuh oleh negara artinya rakyat tidak usah bayar premi bpjs kalau mau dapat pelayanan kesehatan,0
drama bpjs kesehatan ini tidak selesai selesai,0
di tengah wabah corona bpjs tetap melayani sepenuh hati yang terbaru sekarang masyarakat bisa menggunakan aplikasi daring berbasis media sosial yaitu suara interaktif cika,1
ada layanan baru dari bpjs kesehatan yang namanya unik  ada vika dan chika keduanya mempunyai fungsi dan manfaat yang berbeda,1
info kini kalian tidak perlu repot keluar rumah untuk memperoleh faskes bpjs karena udah ada fasilitas servis aplikasi daring berbasis media sosial yakni jkn chika dan suara interaktif jkn vika,1
tentunya penggunaan vika dan chika sangat bermanfaat salah satunya dapat mendukung jarak sosial karena kita tidak harus keluar rumah untuk cek tagihan maupun bila ada pengaduan,1
inovasi yang bagus di tengah wabah corona seperti yang dikeluarkan bpjs kesehatan dimana peserta bisa menggunakan aplikasi berbasis media sosial yakni chat jkn chika dan suara interaktif jkn vika,1
saya suka sekali admin balas cepat lebih cepat dari balasan chat doi,1
dengan adanya layanan vika dan chika dari bpjs kesehatan ini mempermudah masyarakat untuk cek status tagihan dan ikut serta jkn kis pokoknya dukung terus bpjs kesehatan,1
